Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR4417237.raw	SRR4417237.raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26697377.0	2.6 Gbp	0.0	101.0	46.0	42.00533372682538	101.0	101	pass	pass	warn	pass	fail	pass	pass	pass	fail	pass	pass
SRR4417238.raw	SRR4417238.raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19211454.0	1.9 Gbp	0.0	101.0	46.0	46.120201628440086	101.0	101	pass	pass	warn	pass	fail	pass	pass	pass	fail	pass	pass
SRR4417239.raw	SRR4417239.raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26347775.0	2.6 Gbp	0.0	101.0	46.0	38.754840144806685	101.0	101	pass	pass	warn	pass	fail	pass	pass	pass	fail	pass	pass
SRR4417240.raw	SRR4417240.raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23237907.0	2.3 Gbp	0.0	101.0	46.0	43.99736135272341	101.0	101	pass	pass	warn	pass	fail	pass	pass	pass	fail	pass	pass
SRR4417241.raw	SRR4417241.raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15171898.0	1.5 Gbp	0.0	101.0	47.0	48.466165653658365	101.0	101	pass	pass	warn	pass	fail	pass	pass	pass	fail	pass	pass
SRR4417242.raw	SRR4417242.raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25813331.0	2.6 Gbp	0.0	101.0	46.0	36.75575791213042	101.0	101	pass	pass	warn	pass	fail	pass	pass	pass	fail	pass	pass
SRR4417243.raw	SRR4417243.raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45697648.0	4.6 Gbp	0.0	101.0	46.0	34.19798309643867	101.0	101	pass	pass	warn	pass	fail	pass	pass	pass	fail	pass	pass
SRR4417244.raw	SRR4417244.raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30582032.0	3 Gbp	0.0	101.0	47.0	37.25498567736638	101.0	101	pass	pass	warn	pass	fail	pass	pass	pass	fail	pass	pass
