Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRR4417237.raw	(0.0, 0.0001498273408452517)	(1.0, 8.240503746488843e-05)	(2.0, 1.8728417605656464e-05)	(3.0, 2.6219784647919044e-05)	(4.0, 3.932967697187857e-05)	(5.0, 3.558399345074727e-05)	(6.0, 4.682104401414116e-05)	(7.0, 9.551492978884795e-05)	(8.0, 0.00013109892323959522)	(9.0, 0.00016855575845090815)	(10.0, 0.00021350396070448366)	(11.0, 0.0003071460487327659)	(12.0, 0.000518777167676684)	(13.0, 0.0007004428184515517)	(14.0, 0.0009027097285926414)	(15.0, 0.0013428275423255681)	(16.0, 0.0020975827718335235)	(17.0, 0.0032624903469053554)	(18.0, 0.005358200276978314)	(19.0, 0.009000877501278495)	(20.0, 0.014919057464665939)	(21.0, 0.023367446646577566)	(22.0, 0.0370054803470166)	(23.0, 0.05470383498436196)	(24.0, 0.0799647246508714)	(25.0, 0.12000982717528604)	(26.0, 0.16593377998611625)	(27.0, 0.2213736417823805)	(28.0, 0.2940548848264121)	(29.0, 0.38042285545665744)	(30.0, 0.4823485225919216)	(31.0, 0.5905969035108554)	(32.0, 0.7061793327641642)	(33.0, 0.8326167528617116)	(34.0, 0.9744807705410381)	(35.0, 1.130874294598833)	(36.0, 1.3008477942624894)	(37.0, 1.5037009038746363)	(38.0, 1.7743752321621467)	(39.0, 2.1361951504111056)	(40.0, 2.605553642551744)	(41.0, 3.2139163230033247)	(42.0, 3.912166043753254)	(43.0, 4.583950637584631)	(44.0, 5.240042690304227)	(45.0, 5.82665793223212)	(46.0, 6.190730879119039)	(47.0, 6.373720629018627)	(48.0, 6.348946678209864)	(49.0, 6.10444905920978)	(50.0, 5.728444237466297)	(51.0, 5.2041478051212255)	(52.0, 4.579716142363992)	(53.0, 3.932063114617504)	(54.0, 3.316347657413942)	(55.0, 2.7792203861672355)	(56.0, 2.304556133318915)	(57.0, 1.898700086753776)	(58.0, 1.5571255879365318)	(59.0, 1.2780628014034476)	(60.0, 1.0211632242648974)	(61.0, 0.7785908865946743)	(62.0, 0.5855402307573281)	(63.0, 0.4406721748940543)	(64.0, 0.3401530119209749)	(65.0, 0.2561054922320704)	(66.0, 0.19802492355340862)	(67.0, 0.15667257748011912)	(68.0, 0.1197719762716942)	(69.0, 0.08728004456764081)	(70.0, 0.06337134665225977)	(71.0, 0.0462348445430841)	(72.0, 0.027626288810103844)	(73.0, 0.015729997946990863)	(74.0, 0.010589047314238162)	(75.0, 0.007272244556276404)	(76.0, 0.005056672753527245)	(77.0, 0.0035509079780324648)	(78.0, 0.0025789031042988946)	(79.0, 0.0019496282727488377)	(80.0, 0.001391521428100275)	(81.0, 0.0009570221396490452)	(82.0, 0.0007154255525360768)	(83.0, 0.0005637253699302595)	(84.0, 0.0004045338202821796)	(85.0, 0.00030152752345106906)	(86.0, 0.00020975827718335235)	(87.0, 0.00016855575845090815)	(88.0, 0.00013109892323959522)	(89.0, 7.865935394375714e-05)	(90.0, 5.6185252816969384e-05)	(91.0, 3.371115169018163e-05)	(92.0, 1.8728417605656464e-05)	(93.0, 1.1237050563393876e-05)	(94.0, 3.745683521131292e-06)	(95.0, 9.364208802828232e-06)	(96.0, 1.1237050563393876e-05)	(97.0, 5.618525281696938e-06)	(98.0, 3.745683521131292e-06)	(99.0, 1.872841760565646e-06)	(100.0, 0.0)
SRR4417238.raw	(0.0, 5.7257492591856435e-05)	(1.0, 3.643658619481774e-05)	(2.0, 1.301306649814919e-05)	(3.0, 1.821829309740887e-05)	(4.0, 2.8628746295928218e-05)	(5.0, 3.3833972895187894e-05)	(6.0, 4.4244426093707245e-05)	(7.0, 8.068101228852498e-05)	(8.0, 0.00010930975858445321)	(9.0, 0.00015615679797779028)	(10.0, 0.00020560645067075722)	(11.0, 0.0002810822363600225)	(12.0, 0.00042162335454003376)	(13.0, 0.0006298324185104209)	(14.0, 0.0008770806819752555)	(15.0, 0.0011425472385374988)	(16.0, 0.0016656725117630963)	(17.0, 0.0026156263661279875)	(18.0, 0.0043984164763744265)	(19.0, 0.007138968280884645)	(20.0, 0.012195845922065423)	(21.0, 0.019360840335946365)	(22.0, 0.029963886918638327)	(23.0, 0.044437019477879855)	(24.0, 0.06556763685757451)	(25.0, 0.09804304561035564)	(26.0, 0.1361479069302361)	(27.0, 0.18414530140200958)	(28.0, 0.2477974148710565)	(29.0, 0.32324717442732553)	(30.0, 0.41539269830071995)	(31.0, 0.5194191518869246)	(32.0, 0.6300796667738856)	(33.0, 0.7500393189804242)	(34.0, 0.8891177684860434)	(35.0, 1.04009796861087)	(36.0, 1.205418568016657)	(37.0, 1.4193768047659263)	(38.0, 1.7000686491310042)	(39.0, 2.079108044862495)	(40.0, 2.5732636294499125)	(41.0, 3.2055346966220863)	(42.0, 3.926026546811813)	(43.0, 4.63042123374333)	(44.0, 5.333472972212236)	(45.0, 5.939254641220778)	(46.0, 6.312276795003524)	(47.0, 6.479575380517029)	(48.0, 6.4417776275665055)	(49.0, 6.1971371826279)	(50.0, 5.798567776695987)	(51.0, 5.239698212413273)	(52.0, 4.573309487496252)	(53.0, 3.9327308786716593)	(54.0, 3.336482582179662)	(55.0, 2.79750218873272)	(56.0, 2.3356216116740116)	(57.0, 1.9268968086469433)	(58.0, 1.5786463282500738)	(59.0, 1.292054359534735)	(60.0, 1.0438301160825392)	(61.0, 0.8160702210053328)	(62.0, 0.6167334657733838)	(63.0, 0.46525876912162767)	(64.0, 0.36440490114767177)	(65.0, 0.28392168746991864)	(66.0, 0.2129328071092152)	(67.0, 0.15580284256904062)	(68.0, 0.11046531888948886)	(69.0, 0.0782840054395659)	(70.0, 0.05436078398936843)	(71.0, 0.03691026181535036)	(72.0, 0.024180880166860826)	(73.0, 0.016344411521675383)	(74.0, 0.01191736629900503)	(75.0, 0.008463698450396233)	(76.0, 0.005876700830564174)	(77.0, 0.004125142079913293)	(78.0, 0.0029565687083794963)	(79.0, 0.002076885413104611)	(80.0, 0.0014366425413956706)	(81.0, 0.0010852897459456424)	(82.0, 0.0007807839898889514)	(83.0, 0.0005673696993193047)	(84.0, 0.0005127148200270781)	(85.0, 0.0004398416476374427)	(86.0, 0.00029930052945743136)	(87.0, 0.0002004012240714975)	(88.0, 0.00016136202457704997)	(89.0, 0.00013533589158075157)	(90.0, 9.629669208630401e-05)	(91.0, 5.7257492591856435e-05)	(92.0, 2.8628746295928218e-05)	(93.0, 1.301306649814919e-05)	(94.0, 1.301306649814919e-05)	(95.0, 1.0410453198519352e-05)	(96.0, 5.205226599259676e-06)	(97.0, 2.602613299629838e-06)	(98.0, 2.602613299629838e-06)	(99.0, 2.602613299629838e-06)	(100.0, 2.602613299629838e-06)
SRR4417239.raw	(0.0, 3.7953870410456682e-06)	(1.0, 7.5907740820913364e-06)	(2.0, 7.5907740820913364e-06)	(3.0, 3.7953870410456682e-06)	(4.0, 7.5907740820913364e-06)	(5.0, 2.0874628725751177e-05)	(6.0, 3.415848336941102e-05)	(7.0, 4.744233801307086e-05)	(8.0, 8.539620842352755e-05)	(9.0, 0.00014042932051868973)	(10.0, 0.0001916670455728063)	(11.0, 0.0002201324483806488)	(12.0, 0.0002827563345579023)	(13.0, 0.0004611395254870488)	(14.0, 0.000686965054429266)	(15.0, 0.0008995067287278235)	(16.0, 0.0012847385133939588)	(17.0, 0.0021899383226833507)	(18.0, 0.003732763154868415)	(19.0, 0.0066912673533635145)	(20.0, 0.01315670917778481)	(21.0, 0.02209484565944736)	(22.0, 0.037029693665962066)	(23.0, 0.05622676131957106)	(24.0, 0.08433350005203476)	(25.0, 0.12973202214350252)	(26.0, 0.17973245102223817)	(27.0, 0.2400715142007822)	(28.0, 0.32121119605777704)	(29.0, 0.4118469362914681)	(30.0, 0.5170417812146104)	(31.0, 0.6302714605036464)	(32.0, 0.749670541427902)	(33.0, 0.8680391747705138)	(34.0, 1.0115560426470942)	(35.0, 1.1825306380721194)	(36.0, 1.3638761285868022)	(37.0, 1.5759794356821188)	(38.0, 1.8495186728108417)	(39.0, 2.222724773637424)	(40.0, 2.6930168749739543)	(41.0, 3.307457776129399)	(42.0, 4.005186548207071)	(43.0, 4.6573725734857145)	(44.0, 5.302907182974926)	(45.0, 5.86918082719246)	(46.0, 6.177125247848262)	(47.0, 6.281378836785226)	(48.0, 6.19889369022218)	(49.0, 5.939587154497378)	(50.0, 5.571127185165623)	(51.0, 5.030603344328063)	(52.0, 4.407945430228755)	(53.0, 3.8040405234992525)	(54.0, 3.2204940728579197)	(55.0, 2.7113808551720537)	(56.0, 2.259240192359324)	(57.0, 1.8651670535810727)	(58.0, 1.5376327427129137)	(59.0, 1.279276951441894)	(60.0, 1.0417217788493252)	(61.0, 0.8026104975699275)	(62.0, 0.6091994716517608)	(63.0, 0.464232765925501)	(64.0, 0.36516747107364744)	(65.0, 0.28326871180844343)	(66.0, 0.222394499057112)	(67.0, 0.17488574177082283)	(68.0, 0.1314247647638089)	(69.0, 0.09526801011728733)	(70.0, 0.06954477444660032)	(71.0, 0.051089704959515744)	(72.0, 0.031163922994025987)	(73.0, 0.01735440724518132)	(74.0, 0.011424114993547462)	(75.0, 0.00795513123803172)	(76.0, 0.005509004290077788)	(77.0, 0.003753637783594166)	(78.0, 0.0025751701073494864)	(79.0, 0.0018407627149071494)	(80.0, 0.0013340785449275526)	(81.0, 0.0010019821788360564)	(82.0, 0.000698351215552403)	(83.0, 0.0004990933958975054)	(84.0, 0.0004269810421176377)	(85.0, 0.0002941424956810393)	(86.0, 0.0001707924168470551)	(87.0, 0.00011955469179293855)	(88.0, 0.00010627083714927873)	(89.0, 9.488467602614172e-05)	(90.0, 7.401004730039054e-05)	(91.0, 4.174925745150235e-05)	(92.0, 2.4670015766796847e-05)	(93.0, 2.4670015766796847e-05)	(94.0, 9.488467602614172e-06)	(95.0, 5.693080561568503e-06)	(96.0, 9.488467602614172e-06)	(97.0, 7.5907740820913364e-06)	(98.0, 3.7953870410456682e-06)	(99.0, 1.8976935205228341e-06)	(100.0, 7.5907740820913364e-06)
SRR4417240.raw	(0.0, 1.2909940085828725e-05)	(1.0, 1.2909940085828725e-05)	(2.0, 1.7213253447771633e-05)	(3.0, 2.7971536852628904e-05)	(4.0, 3.657816357651472e-05)	(5.0, 4.0881476938457624e-05)	(6.0, 5.594307370525781e-05)	(7.0, 9.252123728177252e-05)	(8.0, 0.00011834111745342998)	(9.0, 0.0001549192810299447)	(10.0, 0.00020871069805423106)	(11.0, 0.00029262530861211777)	(12.0, 0.00040451145602263337)	(13.0, 0.0006454970042914362)	(14.0, 0.0009230607161367537)	(15.0, 0.0013727569624597876)	(16.0, 0.0019773724898127665)	(17.0, 0.0032533049016288387)	(18.0, 0.0054329331194529215)	(19.0, 0.00906923291029468)	(20.0, 0.01595238263272236)	(21.0, 0.0253185441649911)	(22.0, 0.041436604362148265)	(23.0, 0.06246044179192034)	(24.0, 0.09087306826414839)	(25.0, 0.13424616363917097)	(26.0, 0.18930705810523046)	(27.0, 0.25646886974507344)	(28.0, 0.3389332636999854)	(29.0, 0.44166411193296745)	(30.0, 0.5624645729727479)	(31.0, 0.69314759314823)	(32.0, 0.8286266560655977)	(33.0, 0.9668125030876273)	(34.0, 1.1207979651180304)	(35.0, 1.2819592021794732)	(36.0, 1.4493279687655187)	(37.0, 1.6573092552049005)	(38.0, 1.9191809348758933)	(39.0, 2.2708649160673158)	(40.0, 2.7524982025060085)	(41.0, 3.3568297111770993)	(42.0, 4.029816281224627)	(43.0, 4.699745347128494)	(44.0, 5.349640337675836)	(45.0, 5.881745034880076)	(46.0, 6.194613129546774)	(47.0, 6.3201687518515)	(48.0, 6.258741105266447)	(49.0, 5.991757089321466)	(50.0, 5.560470417560824)	(51.0, 4.997663731175801)	(52.0, 4.362083712526962)	(53.0, 3.739639557915454)	(54.0, 3.144964684428564)	(55.0, 2.614054156682262)	(56.0, 2.1566097946510503)	(57.0, 1.7646381937651185)	(58.0, 1.4377714207320211)	(59.0, 1.1645303871587753)	(60.0, 0.9399748893058705)	(61.0, 0.7363550109588178)	(62.0, 0.5567390145446828)	(63.0, 0.4182820587808507)	(64.0, 0.32335096601639013)	(65.0, 0.24669174178673917)	(66.0, 0.18202800355350404)	(67.0, 0.1341084576115888)	(68.0, 0.09591655152434547)	(69.0, 0.06743507203832634)	(70.0, 0.047286958877709645)	(71.0, 0.0330064134861021)	(72.0, 0.02176615898470723)	(73.0, 0.014306365271779198)	(74.0, 0.009878255822339947)	(75.0, 0.006676590681054422)	(76.0, 0.004630365177450569)	(77.0, 0.003391010929211012)	(78.0, 0.002424917079454829)	(79.0, 0.001729931971501049)	(80.0, 0.001170501234448471)	(81.0, 0.0008434494189408099)	(82.0, 0.0006261320941626931)	(83.0, 0.0005013360066663488)	(84.0, 0.00043463464955623376)	(85.0, 0.0003442650689554327)	(86.0, 0.00022592395150200265)	(87.0, 0.00017643584783965925)	(88.0, 0.00013125105753925868)	(89.0, 8.176295387691525e-05)	(90.0, 7.745964051497235e-05)	(91.0, 5.594307370525781e-05)	(92.0, 3.227485021457181e-05)	(93.0, 1.7213253447771633e-05)	(94.0, 6.454970042914362e-06)	(95.0, 2.151656680971454e-06)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 2.151656680971454e-06)	(99.0, 4.303313361942908e-06)	(100.0, 4.303313361942908e-06)
SRR4417241.raw	(0.0, 0.00011204920093595357)	(1.0, 5.932016520138718e-05)	(2.0, 1.3182258933641596e-05)	(3.0, 1.9773388400462395e-05)	(4.0, 2.3068953133872792e-05)	(5.0, 3.954677680092479e-05)	(6.0, 4.6137906267745584e-05)	(7.0, 4.6137906267745584e-05)	(8.0, 7.250242413502878e-05)	(9.0, 0.00010875363620254317)	(10.0, 0.00012193589513618476)	(11.0, 0.00016807380140393036)	(12.0, 0.0003163742144073983)	(13.0, 0.0004284234153433518)	(14.0, 0.0005668371341465886)	(15.0, 0.0007876399712850854)	(16.0, 0.0011139008798927148)	(17.0, 0.0017268759203070492)	(18.0, 0.002774865505531556)	(19.0, 0.004231505117698952)	(20.0, 0.0065746516431537455)	(21.0, 0.010268979709306804)	(22.0, 0.016359183336649222)	(23.0, 0.02430478990890169)	(24.0, 0.036465423775186065)	(25.0, 0.055200709284624186)	(26.0, 0.07975925767799848)	(27.0, 0.1134531115123864)	(28.0, 0.15802232896702864)	(29.0, 0.21804774502136565)	(30.0, 0.29566488562264737)	(31.0, 0.3820712973679346)	(32.0, 0.47582681846872704)	(33.0, 0.583021652552367)	(34.0, 0.7124220018097264)	(35.0, 0.8608904886145984)	(36.0, 1.0385115410512185)	(37.0, 1.264145676088895)	(38.0, 1.5468425144855724)	(39.0, 1.9279811670339517)	(40.0, 2.4360221307717653)	(41.0, 3.0720100997195043)	(42.0, 3.803648539489747)	(43.0, 4.542685522086496)	(44.0, 5.250338841726977)	(45.0, 5.86521542299249)	(46.0, 6.28120137703195)	(47.0, 6.503457558217882)	(48.0, 6.533608679963852)	(49.0, 6.355249421026948)	(50.0, 5.997433480096915)	(51.0, 5.46681789793524)	(52.0, 4.840558436080529)	(53.0, 4.185255162230271)	(54.0, 3.543994289709075)	(55.0, 2.992056403722235)	(56.0, 2.519676745964655)	(57.0, 2.096124175297284)	(58.0, 1.7159115764389925)	(59.0, 1.405878028578676)	(60.0, 1.137734404044739)	(61.0, 0.8913019599745096)	(62.0, 0.6798947778909658)	(63.0, 0.5166127276094142)	(64.0, 0.4048469452405339)	(65.0, 0.31024446400325495)	(66.0, 0.23634142485652676)	(67.0, 0.17788799318002652)	(68.0, 0.1287610096990777)	(69.0, 0.09139260118693718)	(70.0, 0.06420089657156798)	(71.0, 0.044219887592900735)	(72.0, 0.02840447243726423)	(73.0, 0.018072876998022628)	(74.0, 0.012572579457960673)	(75.0, 0.008891433650741257)	(76.0, 0.0064790802658848436)	(77.0, 0.004528105943705888)	(78.0, 0.0030615796373382608)	(79.0, 0.0022838263602534066)	(80.0, 0.001684033578772714)	(81.0, 0.0012127678218950269)	(82.0, 0.0008601423954201141)	(83.0, 0.0007316153708171086)	(84.0, 0.0005371770515458951)	(85.0, 0.0003789899443421959)	(86.0, 0.0003262609086076295)	(87.0, 0.0002504629197391903)	(88.0, 0.00017466493087075113)	(89.0, 0.00010875363620254317)	(90.0, 7.579798886843918e-05)	(91.0, 7.250242413502878e-05)	(92.0, 5.2729035734566384e-05)	(93.0, 1.6477823667051995e-05)	(94.0, 9.886694200231197e-06)	(95.0, 6.591129466820798e-06)	(96.0, 3.295564733410399e-06)	(97.0, 3.295564733410399e-06)	(98.0, 0.0)	(99.0, 3.295564733410399e-06)	(100.0, 3.295564733410399e-06)
SRR4417242.raw	(0.0, 1.1621901426751107e-05)	(1.0, 1.3558884997876292e-05)	(2.0, 1.9369835711251846e-05)	(3.0, 2.130681928237703e-05)	(4.0, 2.905475356687777e-05)	(5.0, 5.229855642037998e-05)	(6.0, 7.55423592738822e-05)	(7.0, 9.297521141400885e-05)	(8.0, 0.0001123450471252607)	(9.0, 0.0001723915378301414)	(10.0, 0.00025761881495964955)	(11.0, 0.0003641529113715347)	(12.0, 0.0005617252356263035)	(13.0, 0.0008793905412908337)	(14.0, 0.0013694473847855053)	(15.0, 0.001933109603982934)	(16.0, 0.002853176800267397)	(17.0, 0.005158187249906366)	(18.0, 0.008206999390857407)	(19.0, 0.012038352894543022)	(20.0, 0.02236053834506913)	(21.0, 0.03566180452798577)	(22.0, 0.058967590855763995)	(23.0, 0.08542872342090514)	(24.0, 0.11749742342445368)	(25.0, 0.17422586127199696)	(26.0, 0.23273438702140428)	(27.0, 0.295798698130098)	(28.0, 0.3743375709885109)	(29.0, 0.45201642314134416)	(30.0, 0.5497004416167584)	(31.0, 0.669996806301488)	(32.0, 0.7889818331085657)	(33.0, 0.898781683821368)	(34.0, 1.0408381219441178)	(35.0, 1.2169176764936815)	(36.0, 1.3995093698093681)	(37.0, 1.6125349489945737)	(38.0, 1.901821508358549)	(39.0, 2.2959511774768173)	(40.0, 2.8213289163909567)	(41.0, 3.481307643662585)	(42.0, 4.166354812311716)	(43.0, 4.843504898941369)	(44.0, 5.532768880824839)	(45.0, 6.076472421305393)	(46.0, 6.300656962843851)	(47.0, 6.312046426242067)	(48.0, 6.178400370785144)	(49.0, 5.896332949190752)	(50.0, 5.494104751761609)	(51.0, 4.900248832657481)	(52.0, 4.24016163430587)	(53.0, 3.6503443259475374)	(54.0, 3.077464001935124)	(55.0, 2.541306949447673)	(56.0, 2.0863269414425076)	(57.0, 1.7085667204838184)	(58.0, 1.4013204494483704)	(59.0, 1.1619441457615778)	(60.0, 0.9400917324427547)	(61.0, 0.7247785756600504)	(62.0, 0.547777016930631)	(63.0, 0.4116264417162418)	(64.0, 0.3310808538781433)	(65.0, 0.26432077811574267)	(66.0, 0.19610409070785592)	(67.0, 0.14197314782919151)	(68.0, 0.09909026854805106)	(69.0, 0.06780217292366596)	(70.0, 0.04630552925131866)	(71.0, 0.03191567830142966)	(72.0, 0.02105307443455963)	(73.0, 0.013677040995714927)	(74.0, 0.009566761857787286)	(75.0, 0.006930527217485909)	(76.0, 0.004890883517091091)	(77.0, 0.003447830756602828)	(78.0, 0.002458032151757859)	(79.0, 0.0016541839697409074)	(80.0, 0.001144757290534984)	(81.0, 0.0007438016913120708)	(82.0, 0.0005346074656305509)	(83.0, 0.0004493801885010428)	(84.0, 0.00038933369779616206)	(85.0, 0.00029054753566877767)	(86.0, 0.0001840134392568925)	(87.0, 0.00014139980069213847)	(88.0, 0.00010266012926963477)	(89.0, 5.810950713375554e-05)	(90.0, 5.0361572849254795e-05)	(91.0, 4.261363856475406e-05)	(92.0, 2.905475356687777e-05)	(93.0, 1.9369835711251846e-05)	(94.0, 9.684917855625923e-06)	(95.0, 3.873967142250369e-06)	(96.0, 0.0)	(97.0, 1.9369835711251843e-06)	(98.0, 3.873967142250369e-06)	(99.0, 3.873967142250369e-06)	(100.0, 3.873967142250369e-06)
SRR4417243.raw	(0.0, 8.096693780743502e-05)	(1.0, 4.814250356117758e-05)	(2.0, 1.641221712312872e-05)	(3.0, 2.407125178058879e-05)	(4.0, 3.720102547909177e-05)	(5.0, 4.595420794476042e-05)	(6.0, 6.346057287609772e-05)	(7.0, 9.519085931414657e-05)	(8.0, 0.0001181679632865268)	(9.0, 0.00017287535369695585)	(10.0, 0.00026697206520289384)	(11.0, 0.0003873283241058378)	(12.0, 0.0004868957746528187)	(13.0, 0.0006597711283497746)	(14.0, 0.0009519085931414659)	(15.0, 0.0013808145339592297)	(16.0, 0.0021543770343626966)	(17.0, 0.00347829588229508)	(18.0, 0.00550684591871379)	(19.0, 0.008426032271014286)	(20.0, 0.0142676874190399)	(21.0, 0.02227575522731851)	(22.0, 0.03628960035485402)	(23.0, 0.05403667780399721)	(24.0, 0.07582225481323827)	(25.0, 0.1107999719460502)	(26.0, 0.15239618917071582)	(27.0, 0.20143808223024084)	(28.0, 0.26405069055497693)	(29.0, 0.3374450313818003)	(30.0, 0.4297363990041942)	(31.0, 0.5338872347197609)	(32.0, 0.6406443305144803)	(33.0, 0.7553591633183009)	(34.0, 0.8934537464879223)	(35.0, 1.0396603415076022)	(36.0, 1.1946770146789776)	(37.0, 1.4070872111299342)	(38.0, 1.6911148523671833)	(39.0, 2.065916278216841)	(40.0, 2.5640194088691404)	(41.0, 3.192398342453602)	(42.0, 3.9078287698069474)	(43.0, 4.620569781847716)	(44.0, 5.301501728808244)	(45.0, 5.891250679876094)	(46.0, 6.289906716240315)	(47.0, 6.46679540409778)	(48.0, 6.42478669314942)	(49.0, 6.194955475296167)	(50.0, 5.807108525129237)	(51.0, 5.259731542082074)	(52.0, 4.614286090985174)	(53.0, 3.967987204597872)	(54.0, 3.35126751005768)	(55.0, 2.8039638349136657)	(56.0, 2.342556233453066)	(57.0, 1.9403639113727147)	(58.0, 1.5843807336764362)	(59.0, 1.291110825903249)	(60.0, 1.0393113083567838)	(61.0, 0.8099637038347584)	(62.0, 0.613286258718033)	(63.0, 0.45975434412239663)	(64.0, 0.35817803819954475)	(65.0, 0.27555346646267376)	(66.0, 0.203673426202411)	(67.0, 0.1475206665373384)	(68.0, 0.10345824015297062)	(69.0, 0.07254309383203715)	(70.0, 0.05002224949567992)	(71.0, 0.03422713173638084)	(72.0, 0.022140080899100644)	(73.0, 0.014289570375204072)	(74.0, 0.009837482943603355)	(75.0, 0.00688766045267302)	(76.0, 0.004759542965707329)	(77.0, 0.003361222066816762)	(78.0, 0.0025231048457289885)	(79.0, 0.0019060054818993489)	(80.0, 0.001405979933548027)	(81.0, 0.000995674505469809)	(82.0, 0.0007330790314997495)	(83.0, 0.0005262850957483276)	(84.0, 0.00045297719259835265)	(85.0, 0.00035340974205137174)	(86.0, 0.00020351149232679614)	(87.0, 0.0001586514321902443)	(88.0, 0.00012910944136861258)	(89.0, 9.847330273877231e-05)	(90.0, 7.221375534176637e-05)	(91.0, 6.236642506788914e-05)	(92.0, 3.829517328730035e-05)	(93.0, 1.4223921506711557e-05)	(94.0, 1.0941478082085814e-05)	(95.0, 7.659034657460069e-06)	(96.0, 3.282443424625744e-06)	(97.0, 3.282443424625744e-06)	(98.0, 1.0941478082085813e-06)	(99.0, 0.0)	(100.0, 3.282443424625744e-06)
SRR4417244.raw	(0.0, 2.2889254706410894e-05)	(1.0, 1.634946764743635e-05)	(2.0, 9.809680588461812e-06)	(3.0, 1.634946764743635e-05)	(4.0, 3.106398853012907e-05)	(5.0, 4.577850941282179e-05)	(6.0, 5.231829647179633e-05)	(7.0, 8.82871252961563e-05)	(8.0, 0.00012425595412051627)	(9.0, 0.00016512962323910716)	(10.0, 0.00024360706794680166)	(11.0, 0.0003662280753025743)	(12.0, 0.0004921189761878342)	(13.0, 0.0007635201391352777)	(14.0, 0.0011444627353205446)	(15.0, 0.0014779918753282462)	(16.0, 0.0022774808432878837)	(17.0, 0.003945126543326392)	(18.0, 0.006167019196612992)	(19.0, 0.009253798688448975)	(20.0, 0.015159226402702985)	(21.0, 0.02366912431319361)	(22.0, 0.03701028991350167)	(23.0, 0.05353469686476559)	(24.0, 0.07560157334851043)	(25.0, 0.10934523962605432)	(26.0, 0.1473299578113432)	(27.0, 0.18877258840406486)	(28.0, 0.24203097926558878)	(29.0, 0.30746154879062904)	(30.0, 0.3871864578798229)	(31.0, 0.47434383496154137)	(32.0, 0.5639618069241991)	(33.0, 0.6635104455359094)	(34.0, 0.7874443151437713)	(35.0, 0.9423457114226421)	(36.0, 1.128919296428127)	(37.0, 1.3458260487599003)	(38.0, 1.622473755875406)	(39.0, 1.9983839859187922)	(40.0, 2.4854885803791573)	(41.0, 3.1007648264616003)	(42.0, 3.812290388584501)	(43.0, 4.521628391936174)	(44.0, 5.185683274744743)	(45.0, 5.789959598993991)	(46.0, 6.195346284258941)	(47.0, 6.4080021750023795)	(48.0, 6.3890531419990015)	(49.0, 6.171098388791027)	(50.0, 5.842871381141389)	(51.0, 5.325147503670905)	(52.0, 4.730705384211591)	(53.0, 4.079390006593904)	(54.0, 3.428980389483885)	(55.0, 2.8915259744564747)	(56.0, 2.4386898641851356)	(57.0, 2.067843064272161)	(58.0, 1.7365717857465701)	(59.0, 1.4509236966911505)	(60.0, 1.1513180671051146)	(61.0, 0.8666852799906011)	(62.0, 0.6628237678947171)	(63.0, 0.5095491436467661)	(64.0, 0.3884502717289698)	(65.0, 0.28093453753266356)	(66.0, 0.22692897599965184)	(67.0, 0.19552491854245607)	(68.0, 0.16000079523810637)	(69.0, 0.1193445740392264)	(70.0, 0.08903593091440888)	(71.0, 0.06589489440622748)	(72.0, 0.03629418323054395)	(73.0, 0.017155496402454964)	(74.0, 0.0108658561984862)	(75.0, 0.007303307198109819)	(76.0, 0.0051320978945302706)	(77.0, 0.003729313570380232)	(78.0, 0.0026927573215327675)	(79.0, 0.0019553963306333877)	(80.0, 0.0014452929400333736)	(81.0, 0.0011101288532609282)	(82.0, 0.0007945841276654068)	(83.0, 0.0005428023258948869)	(84.0, 0.00040219690412693425)	(85.0, 0.00032862429971347064)	(86.0, 0.0002272576002993653)	(87.0, 0.0001487801555916708)	(88.0, 0.0001111763800025672)	(89.0, 8.174733823718177e-05)	(90.0, 6.866776411923268e-05)	(91.0, 6.212797706025814e-05)	(92.0, 3.26989352948727e-05)	(93.0, 1.634946764743635e-05)	(94.0, 1.1444627353205447e-05)	(95.0, 4.904840294230906e-06)	(96.0, 1.6349467647436352e-06)	(97.0, 3.2698935294872705e-06)	(98.0, 4.904840294230906e-06)	(99.0, 3.2698935294872705e-06)	(100.0, 0.0)
