49745
LOC117129209	LOC117129209	MissingGeneType
LOC103844700	LOC103844700	MissingGeneType
LOC103844699	LOC103844699	MissingGeneType
LOC103844698	LOC103844698	MissingGeneType
LOC103844697	LOC103844697	MissingGeneType
LOC103844695	LOC103844695	MissingGeneType
LOC103844693	LOC103844693	MissingGeneType
LOC103844694	LOC103844694	MissingGeneType
LOC117129137	LOC117129137	MissingGeneType
LOC103844692	LOC103844692	MissingGeneType
LOC117129402	LOC117129402	MissingGeneType
LOC117129139	LOC117129139	MissingGeneType
LOC103844691	LOC103844691	MissingGeneType
LOC117129000	LOC117129000	MissingGeneType
LOC103844690	LOC103844690	MissingGeneType
LOC103844689	LOC103844689	MissingGeneType
LOC117128918	LOC117128918	MissingGeneType
LOC103844688	LOC103844688	MissingGeneType
LOC103844687	LOC103844687	MissingGeneType
TRNAV-UAC	TRNAV-UAC	MissingGeneType
LOC103844686	LOC103844686	MissingGeneType
LOC103844685	LOC103844685	MissingGeneType
LOC117128975	LOC117128975	MissingGeneType
LOC103844684	LOC103844684	MissingGeneType
LOC103844682	LOC103844682	MissingGeneType
LOC103844683	LOC103844683	MissingGeneType
LOC103844680	LOC103844680	MissingGeneType
LOC103844679	LOC103844679	MissingGeneType
LOC103844678	LOC103844678	MissingGeneType
LOC103844675	LOC103844675	MissingGeneType
LOC103844676	LOC103844676	MissingGeneType
LOC103844677	LOC103844677	MissingGeneType
LOC103844674	LOC103844674	MissingGeneType
LOC103844673	LOC103844673	MissingGeneType
LOC117128976	LOC117128976	MissingGeneType
LOC103844672	LOC103844672	MissingGeneType
LOC103844671	LOC103844671	MissingGeneType
LOC103844670	LOC103844670	MissingGeneType
LOC103844669	LOC103844669	MissingGeneType
LOC103844668	LOC103844668	MissingGeneType
LOC103844667	LOC103844667	MissingGeneType
LOC103844665	LOC103844665	MissingGeneType
LOC103844666	LOC103844666	MissingGeneType
LOC103844664	LOC103844664	MissingGeneType
LOC103844663	LOC103844663	MissingGeneType
LOC117128977	LOC117128977	MissingGeneType
LOC103844662	LOC103844662	MissingGeneType
LOC117129121	LOC117129121	MissingGeneType
LOC117129122	LOC117129122	MissingGeneType
LOC103844661	LOC103844661	MissingGeneType
LOC103844660	LOC103844660	MissingGeneType
LOC103844659	LOC103844659	MissingGeneType
LOC117128893	LOC117128893	MissingGeneType
LOC103844658	LOC103844658	MissingGeneType
LOC117128894	LOC117128894	MissingGeneType
LOC103844654	LOC103844654	MissingGeneType
LOC103844655	LOC103844655	MissingGeneType
LOC103844653	LOC103844653	MissingGeneType
LOC103844652	LOC103844652	MissingGeneType
LOC117128981	LOC117128981	MissingGeneType
LOC103844651	LOC103844651	MissingGeneType
LOC103844650	LOC103844650	MissingGeneType
LOC103844649	LOC103844649	MissingGeneType
LOC103844648	LOC103844648	MissingGeneType
LOC103844646	LOC103844646	MissingGeneType
LOC103844645	LOC103844645	MissingGeneType
LOC103844644	LOC103844644	MissingGeneType
LOC103844643	LOC103844643	MissingGeneType
LOC103844641	LOC103844641	MissingGeneType
LOC103844642	LOC103844642	MissingGeneType
LOC103844639	LOC103844639	MissingGeneType
LOC103844638	LOC103844638	MissingGeneType
LOC103844637	LOC103844637	MissingGeneType
LOC103844632	LOC103844632	MissingGeneType
LOC103844635	LOC103844635	MissingGeneType
LOC103844633	LOC103844633	MissingGeneType
LOC103844631	LOC103844631	MissingGeneType
LOC103844630	LOC103844630	MissingGeneType
LOC103844628	LOC103844628	MissingGeneType
LOC103844629	LOC103844629	MissingGeneType
LOC103844627	LOC103844627	MissingGeneType
LOC108870241	LOC108870241	MissingGeneType
LOC103844626	LOC103844626	MissingGeneType
TRNAA-AGC	TRNAA-AGC	MissingGeneType
LOC103844624	LOC103844624	MissingGeneType
LOC103844623	LOC103844623	MissingGeneType
LOC103844622	LOC103844622	MissingGeneType
LOC103844620	LOC103844620	MissingGeneType
LOC103844621	LOC103844621	MissingGeneType
LOC103844619	LOC103844619	MissingGeneType
LOC103844731	LOC103844731	MissingGeneType
LOC103844618	LOC103844618	MissingGeneType
LOC103844617	LOC103844617	MissingGeneType
LOC103844616	LOC103844616	MissingGeneType
LOC103844615	LOC103844615	MissingGeneType
LOC103844613	LOC103844613	MissingGeneType
LOC103844612	LOC103844612	MissingGeneType
LOC103844611	LOC103844611	MissingGeneType
LOC103844610	LOC103844610	MissingGeneType
LOC108870122	LOC108870122	MissingGeneType
LOC103844730	LOC103844730	MissingGeneType
LOC103844609	LOC103844609	MissingGeneType
LOC103844608	LOC103844608	MissingGeneType
LOC108870108	LOC108870108	MissingGeneType
LOC117128904	LOC117128904	MissingGeneType
LOC103844607	LOC103844607	MissingGeneType
LOC103844729	LOC103844729	MissingGeneType
LOC103844727	LOC103844727	MissingGeneType
LOC117129001	LOC117129001	MissingGeneType
LOC103844724	LOC103844724	MissingGeneType
LOC103844602	LOC103844602	MissingGeneType
LOC103844600	LOC103844600	MissingGeneType
LOC103844601	LOC103844601	MissingGeneType
LOC103844599	LOC103844599	MissingGeneType
LOC117129095	LOC117129095	MissingGeneType
LOC103844598	LOC103844598	MissingGeneType
LOC103844597	LOC103844597	MissingGeneType
LOC103844596	LOC103844596	MissingGeneType
LOC103844594	LOC103844594	MissingGeneType
LOC103844592	LOC103844592	MissingGeneType
LOC103844723	LOC103844723	MissingGeneType
LOC103844722	LOC103844722	MissingGeneType
LOC103844591	LOC103844591	MissingGeneType
LOC103844590	LOC103844590	MissingGeneType
LOC103844589	LOC103844589	MissingGeneType
LOC103844588	LOC103844588	MissingGeneType
LOC103844587	LOC103844587	MissingGeneType
LOC103844582	LOC103844582	MissingGeneType
LOC103844720	LOC103844720	MissingGeneType
LOC103844583	LOC103844583	MissingGeneType
LOC103844586	LOC103844586	MissingGeneType
LOC103844581	LOC103844581	MissingGeneType
LOC103844579	LOC103844579	MissingGeneType
LOC103844580	LOC103844580	MissingGeneType
TRNAF-GAA	TRNAF-GAA	MissingGeneType
LOC103844578	LOC103844578	MissingGeneType
LOC103844577	LOC103844577	MissingGeneType
LOC103844576	LOC103844576	MissingGeneType
LOC103844718	LOC103844718	MissingGeneType
LOC103844575	LOC103844575	MissingGeneType
LOC103844717	LOC103844717	MissingGeneType
LOC103844567	LOC103844567	MissingGeneType
LOC103844568	LOC103844568	MissingGeneType
LOC103844569	LOC103844569	MissingGeneType
LOC103844570	LOC103844570	MissingGeneType
LOC108870121	LOC108870121	MissingGeneType
LOC103844571	LOC103844571	MissingGeneType
LOC103844572	LOC103844572	MissingGeneType
LOC103844573	LOC103844573	MissingGeneType
