Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
SRR4417237.raw	(2.0, 2167.0)	(3.0, 87.0)	(4.0, 155.0)	(5.0, 384.0)	(6.0, 981.0)	(7.0, 3187.0)	(8.0, 8767.0)	(9.0, 16332.0)	(10.0, 23114.0)	(11.0, 30025.0)	(12.0, 37443.0)	(13.0, 44135.0)	(14.0, 50282.0)	(15.0, 54574.0)	(16.0, 59340.0)	(17.0, 63998.0)	(18.0, 69487.0)	(19.0, 74572.0)	(20.0, 80294.0)	(21.0, 86394.0)	(22.0, 97398.0)	(23.0, 114480.0)	(24.0, 141966.0)	(25.0, 181932.0)	(26.0, 235141.0)	(27.0, 303158.0)	(28.0, 386056.0)	(29.0, 491866.0)	(30.0, 620013.0)	(31.0, 780555.0)	(32.0, 990164.0)	(33.0, 1278094.0)	(34.0, 1718737.0)	(35.0, 2463098.0)	(36.0, 3954080.0)	(37.0, 6391740.0)	(38.0, 5332250.0)	(39.0, 510896.0)	(40.0, 35.0)
SRR4417238.raw	(2.0, 1401.0)	(3.0, 68.0)	(4.0, 116.0)	(5.0, 275.0)	(6.0, 702.0)	(7.0, 2372.0)	(8.0, 6263.0)	(9.0, 11530.0)	(10.0, 16446.0)	(11.0, 21405.0)	(12.0, 26359.0)	(13.0, 31113.0)	(14.0, 35138.0)	(15.0, 39112.0)	(16.0, 42074.0)	(17.0, 45326.0)	(18.0, 49509.0)	(19.0, 53667.0)	(20.0, 57385.0)	(21.0, 61876.0)	(22.0, 70304.0)	(23.0, 82304.0)	(24.0, 101410.0)	(25.0, 129282.0)	(26.0, 166736.0)	(27.0, 215682.0)	(28.0, 274215.0)	(29.0, 348891.0)	(30.0, 439151.0)	(31.0, 553627.0)	(32.0, 706584.0)	(33.0, 916035.0)	(34.0, 1233429.0)	(35.0, 1775789.0)	(36.0, 2846221.0)	(37.0, 4624281.0)	(38.0, 3868715.0)	(39.0, 356648.0)	(40.0, 13.0)
SRR4417239.raw	(2.0, 1275.0)	(3.0, 67.0)	(4.0, 149.0)	(5.0, 297.0)	(6.0, 984.0)	(7.0, 3122.0)	(8.0, 8916.0)	(9.0, 16844.0)	(10.0, 23545.0)	(11.0, 31108.0)	(12.0, 38430.0)	(13.0, 45351.0)	(14.0, 52087.0)	(15.0, 56320.0)	(16.0, 61452.0)	(17.0, 66515.0)	(18.0, 71606.0)	(19.0, 77590.0)	(20.0, 83354.0)	(21.0, 90283.0)	(22.0, 101393.0)	(23.0, 119337.0)	(24.0, 146979.0)	(25.0, 188184.0)	(26.0, 241398.0)	(27.0, 309979.0)	(28.0, 396517.0)	(29.0, 501516.0)	(30.0, 631747.0)	(31.0, 795968.0)	(32.0, 1006390.0)	(33.0, 1296963.0)	(34.0, 1736976.0)	(35.0, 2484023.0)	(36.0, 3944397.0)	(37.0, 6212771.0)	(38.0, 5026795.0)	(39.0, 477118.0)	(40.0, 29.0)
SRR4417240.raw	(2.0, 1336.0)	(3.0, 70.0)	(4.0, 113.0)	(5.0, 271.0)	(6.0, 739.0)	(7.0, 2454.0)	(8.0, 7103.0)	(9.0, 13384.0)	(10.0, 18784.0)	(11.0, 24373.0)	(12.0, 30354.0)	(13.0, 36530.0)	(14.0, 41282.0)	(15.0, 45383.0)	(16.0, 48916.0)	(17.0, 52678.0)	(18.0, 56893.0)	(19.0, 61820.0)	(20.0, 66187.0)	(21.0, 71820.0)	(22.0, 79833.0)	(23.0, 94864.0)	(24.0, 116925.0)	(25.0, 150895.0)	(26.0, 193997.0)	(27.0, 249872.0)	(28.0, 320584.0)	(29.0, 407875.0)	(30.0, 516251.0)	(31.0, 652602.0)	(32.0, 832600.0)	(33.0, 1081572.0)	(34.0, 1457870.0)	(35.0, 2102937.0)	(36.0, 3385755.0)	(37.0, 5600854.0)	(38.0, 4912502.0)	(39.0, 499595.0)	(40.0, 34.0)
SRR4417241.raw	(2.0, 1281.0)	(3.0, 52.0)	(4.0, 70.0)	(5.0, 188.0)	(6.0, 573.0)	(7.0, 1792.0)	(8.0, 5063.0)	(9.0, 9627.0)	(10.0, 13555.0)	(11.0, 17602.0)	(12.0, 21480.0)	(13.0, 25762.0)	(14.0, 29362.0)	(15.0, 32082.0)	(16.0, 34342.0)	(17.0, 37320.0)	(18.0, 40455.0)	(19.0, 43404.0)	(20.0, 47155.0)	(21.0, 50981.0)	(22.0, 57292.0)	(23.0, 67463.0)	(24.0, 83052.0)	(25.0, 105975.0)	(26.0, 136114.0)	(27.0, 175251.0)	(28.0, 223093.0)	(29.0, 282909.0)	(30.0, 356095.0)	(31.0, 449823.0)	(32.0, 570507.0)	(33.0, 734847.0)	(34.0, 988879.0)	(35.0, 1423895.0)	(36.0, 2270574.0)	(37.0, 3631543.0)	(38.0, 2946197.0)	(39.0, 256226.0)	(40.0, 17.0)
SRR4417242.raw	(2.0, 1814.0)	(3.0, 77.0)	(4.0, 142.0)	(5.0, 373.0)	(6.0, 951.0)	(7.0, 3039.0)	(8.0, 8061.0)	(9.0, 15669.0)	(10.0, 22608.0)	(11.0, 28910.0)	(12.0, 35805.0)	(13.0, 42714.0)	(14.0, 48640.0)	(15.0, 52786.0)	(16.0, 57604.0)	(17.0, 61453.0)	(18.0, 66972.0)	(19.0, 72035.0)	(20.0, 77320.0)	(21.0, 83812.0)	(22.0, 93761.0)	(23.0, 110855.0)	(24.0, 137627.0)	(25.0, 175723.0)	(26.0, 225621.0)	(27.0, 289837.0)	(28.0, 370413.0)	(29.0, 468948.0)	(30.0, 592727.0)	(31.0, 747852.0)	(32.0, 947783.0)	(33.0, 1222015.0)	(34.0, 1644594.0)	(35.0, 2361395.0)	(36.0, 3803262.0)	(37.0, 6197061.0)	(38.0, 5219612.0)	(39.0, 523427.0)	(40.0, 33.0)
SRR4417243.raw	(2.0, 3474.0)	(3.0, 122.0)	(4.0, 226.0)	(5.0, 661.0)	(6.0, 1678.0)	(7.0, 5415.0)	(8.0, 14708.0)	(9.0, 27521.0)	(10.0, 38693.0)	(11.0, 51066.0)	(12.0, 63328.0)	(13.0, 74777.0)	(14.0, 85376.0)	(15.0, 93593.0)	(16.0, 101438.0)	(17.0, 109558.0)	(18.0, 118654.0)	(19.0, 128706.0)	(20.0, 138961.0)	(21.0, 150742.0)	(22.0, 168909.0)	(23.0, 199243.0)	(24.0, 245839.0)	(25.0, 313096.0)	(26.0, 402229.0)	(27.0, 520105.0)	(28.0, 662871.0)	(29.0, 842667.0)	(30.0, 1066151.0)	(31.0, 1348235.0)	(32.0, 1708092.0)	(33.0, 2213934.0)	(34.0, 2969903.0)	(35.0, 4262571.0)	(36.0, 6822622.0)	(37.0, 10942889.0)	(38.0, 8977586.0)	(39.0, 821950.0)	(40.0, 59.0)
SRR4417244.raw	(2.0, 3431.0)	(3.0, 93.0)	(4.0, 193.0)	(5.0, 464.0)	(6.0, 1208.0)	(7.0, 3802.0)	(8.0, 10549.0)	(9.0, 19798.0)	(10.0, 27893.0)	(11.0, 36009.0)	(12.0, 44223.0)	(13.0, 53249.0)	(14.0, 60907.0)	(15.0, 65994.0)	(16.0, 71190.0)	(17.0, 77068.0)	(18.0, 83841.0)	(19.0, 91115.0)	(20.0, 97441.0)	(21.0, 104449.0)	(22.0, 116838.0)	(23.0, 137677.0)	(24.0, 169647.0)	(25.0, 216653.0)	(26.0, 277525.0)	(27.0, 356916.0)	(28.0, 455744.0)	(29.0, 578125.0)	(30.0, 727880.0)	(31.0, 916200.0)	(32.0, 1161571.0)	(33.0, 1501012.0)	(34.0, 2016717.0)	(35.0, 2904578.0)	(36.0, 4659591.0)	(37.0, 7302879.0)	(38.0, 5722300.0)	(39.0, 507220.0)	(40.0, 42.0)
