Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
SRR4417237.raw	(1, 0.030257654150817888)	(2, 0.05270555230950216)	(3, 0.008828582673121782)	(4, 0.0)	(5, 0.0)	(6, 1.1237058981487206e-05)	(7, 0.0)	(8, 3.7456863271624025e-06)	(9, 2.996549061729922e-05)	(10, 0.0008146867761578226)	(12, 0.0001348447077778465)	(14, 0.00016106451206798333)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 3.7456863271624025e-06)	(36, 0.0)	(38, 0.00024721529759271854)	(40, 8.615078552473526e-05)	(42, 0.0001423360804321713)	(44, 1.685558847223081e-05)	(46, 0.00011611627614203449)	(48, 0.0)	(50, 1.310990214506841e-05)	(52, 0.0)	(54, 7.491372654324805e-06)	(56, 0.00011237058981487207)	(58, 2.621980429013682e-05)	(60, 0.0003389846126081974)	(62, 0.0065231127387533235)	(64, 0.0012454407037814988)	(66, 0.0004775750067132063)	(68, 0.0003895513780248899)	(70, 9.364215817906007e-06)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 1.498274530864961e-05)	(80, 6.554951072534204e-05)	(82, 0.0)	(84, 0.0015151301193371918)	(86, 0.002069491695757227)	(88, 0.002232429050988792)	(90, 0.0011855097225469005)	(92, 0.0004944305951854371)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
SRR4417238.raw	(1, 0.028056179402142074)	(2, 0.04914776362059842)	(3, 0.008671909997025733)	(4, 0.0)	(5, 0.0)	(6, 5.20522808945122e-06)	(7, 0.0)	(8, 5.20522808945122e-06)	(9, 3.123136853670732e-05)	(10, 0.0007651685291493294)	(12, 0.0001561568426835366)	(14, 0.00013793854437045734)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 1.041045617890244e-05)	(36, 0.0)	(38, 0.00022382480784640247)	(40, 7.54758072970427e-05)	(42, 0.00014054115841518293)	(44, 2.6026140447256097e-05)	(46, 0.00011711763201265244)	(48, 0.0)	(50, 2.082091235780488e-05)	(52, 0.0)	(54, 1.821829831307927e-05)	(56, 0.00014834900054935978)	(58, 2.082091235780488e-05)	(60, 0.0003721738083957622)	(62, 0.006056282882076494)	(64, 0.00121542075888686)	(66, 0.0005023045106320427)	(68, 0.00035395551008268294)	(70, 2.6026140447256097e-05)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 2.6026140447256097e-05)	(80, 4.424443876033537e-05)	(82, 0.0)	(84, 0.0014132194262860061)	(86, 0.0019779866739914635)	(88, 0.00224085069250875)	(90, 0.001100905740918933)	(92, 0.0005049071246767683)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
SRR4417239.raw	(1, 0.029319363779294456)	(2, 0.05046725956935643)	(3, 0.00882047914861881)	(4, 0.0)	(5, 0.0)	(6, 1.1386160690988138e-05)	(7, 0.0)	(8, 7.590773793992093e-06)	(9, 2.2772321381976277e-05)	(10, 0.0006926581087017783)	(12, 0.00013094084794636359)	(14, 0.00016320163657082998)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 1.3283854139486161e-05)	(36, 0.0)	(38, 0.0002542909220987351)	(40, 8.539620518241104e-05)	(42, 0.0001404293151888537)	(44, 2.2772321381976277e-05)	(46, 0.0001157593003583794)	(48, 0.0)	(50, 2.0874627933478252e-05)	(52, 0.0)	(54, 1.5181547587984186e-05)	(56, 0.00011765699380687744)	(58, 1.3283854139486161e-05)	(60, 0.0003548686748691303)	(62, 0.006495804674208733)	(64, 0.0012050353397962447)	(66, 0.0004763210555730038)	(68, 0.0003985156241845848)	(70, 2.2772321381976277e-05)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 1.7079241036482207e-05)	(80, 4.554464276395255e-05)	(82, 0.0)	(84, 0.0014099862322340313)	(86, 0.00195841963884996)	(88, 0.0020969512605903155)	(90, 0.0011215368280623316)	(92, 0.0004440602669485374)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
SRR4417240.raw	(1, 0.030355573761440737)	(2, 0.05132562067659536)	(3, 0.009058475016704388)	(4, 0.0)	(5, 0.0)	(6, 8.60662709425595e-06)	(7, 0.0)	(8, 0.0)	(9, 1.2909940641383925e-05)	(10, 0.0007294116462381918)	(12, 0.00012694774964027526)	(14, 0.00016352591479086305)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 1.0758283867819937e-05)	(36, 0.0)	(38, 0.00021516567735639874)	(40, 8.60662709425595e-05)	(42, 0.00014200934705522317)	(44, 1.72132541885119e-05)	(46, 8.60662709425595e-05)	(48, 0.0)	(50, 1.72132541885119e-05)	(52, 0.0)	(54, 1.72132541885119e-05)	(56, 0.00012479609286671127)	(58, 1.5061597414947912e-05)	(60, 0.00033996177022311)	(62, 0.006261321211071204)	(64, 0.0011661979712716812)	(66, 0.0004367863250334894)	(68, 0.000346416740543802)	(70, 1.9364910962075887e-05)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 2.7971538056331837e-05)	(80, 5.3791419339099686e-05)	(82, 0.0)	(84, 0.0014071835299108478)	(86, 0.002089258727130632)	(88, 0.0022958177773927746)	(90, 0.0011769562551395012)	(92, 0.0005701890449944568)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
SRR4417241.raw	(1, 0.030510355395218184)	(2, 0.052597242612624995)	(3, 0.009062808094280624)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 1.977339947843045e-05)	(9, 1.977339947843045e-05)	(10, 0.000741502480441142)	(12, 0.00012193596345032111)	(14, 0.0001581871958274436)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 1.3182266318953635e-05)	(36, 0.0)	(38, 0.00018125616188561247)	(40, 8.568473107319862e-05)	(42, 0.0001186403968705827)	(44, 1.6477832898692044e-05)	(46, 9.886699739215225e-05)	(48, 0.0)	(50, 1.3182266318953635e-05)	(52, 0.0)	(54, 1.977339947843045e-05)	(56, 0.00012852709660979793)	(58, 1.977339947843045e-05)	(60, 0.0002702364595385495)	(62, 0.006390103598112774)	(64, 0.0012061773681842575)	(66, 0.0003756945900901786)	(68, 0.00032626109139410246)	(70, 1.977339947843045e-05)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 1.977339947843045e-05)	(80, 7.57980313339834e-05)	(82, 0.0)	(84, 0.0015390295927378366)	(86, 0.0021487094099894425)	(88, 0.0023563301045129623)	(90, 0.00109742367105289)	(92, 0.0005174039530189302)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
SRR4417242.raw	(1, 0.03022856678202437)	(2, 0.05330191597512153)	(3, 0.009235538024906589)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 2.3243803753959535e-05)	(9, 1.9369836461632947e-05)	(10, 0.000730242834603562)	(12, 0.00012590393700061413)	(14, 0.00015883265898539015)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 9.684918230816473e-06)	(36, 0.0)	(38, 0.0002401859721242485)	(40, 9.684918230816472e-05)	(42, 0.00016076964263155345)	(44, 2.130682010779624e-05)	(46, 0.00011234505147747107)	(48, 0.0)	(50, 1.743285281546965e-05)	(52, 0.0)	(54, 1.5495869169306355e-05)	(56, 0.00012977790429294071)	(58, 2.130682010779624e-05)	(60, 0.0003564049908940462)	(62, 0.00630294478461536)	(64, 0.0012125517624982222)	(66, 0.0004900568624793136)	(68, 0.00035834197454020947)	(70, 1.743285281546965e-05)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 2.130682010779624e-05)	(80, 5.036157480024566e-05)	(82, 0.0)	(84, 0.0014759815383764304)	(86, 0.002090005354210195)	(88, 0.002308884506226647)	(90, 0.0011757490732211197)	(92, 0.0005074897152947832)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
SRR4417243.raw	(1, 0.02925971157202664)	(2, 0.05182761265962747)	(3, 0.009048605740059093)	(4, 0.0)	(5, 0.0)	(6, 2.1882964304858753e-06)	(7, 0.0)	(8, 4.376592860971751e-06)	(9, 2.1882964304858754e-05)	(10, 0.0007297968595670394)	(12, 0.00015865149121022597)	(14, 0.00016521638050168359)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 5.4707410762146885e-06)	(36, 0.0)	(38, 0.00021335890197237285)	(40, 8.534356078894913e-05)	(42, 0.00012363874832245196)	(44, 1.860051965912994e-05)	(46, 0.00011488556260050847)	(48, 0.0)	(50, 1.422392679815819e-05)	(52, 0.0)	(54, 1.2035630367672314e-05)	(56, 0.0001192621554614802)	(58, 1.6412223228644064e-05)	(60, 0.00032605616814239543)	(62, 0.006300105423368836)	(64, 0.0011280668099154687)	(66, 0.00044203587895814684)	(68, 0.00030089075919180784)	(70, 1.7506371443887002e-05)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 2.1882964304858754e-05)	(80, 4.0483483963988695e-05)	(82, 0.0)	(84, 0.001490229869160881)	(86, 0.0019968204928183615)	(88, 0.0021707900590419884)	(90, 0.0011007131045343954)	(92, 0.0004868959557831072)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
SRR4417244.raw	(1, 0.029958767945831723)	(2, 0.05177223017751077)	(3, 0.008822173752221565)	(4, 0.0)	(5, 0.0)	(6, 3.2698939037144425e-06)	(7, 0.0)	(8, 1.307957561485777e-05)	(9, 1.9619363422286656e-05)	(10, 0.0007471707569987502)	(12, 0.00014224038481157827)	(14, 0.00016022480128200767)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 6.539787807428885e-06)	(36, 0.0)	(38, 0.0002060033159340099)	(40, 7.847745368914662e-05)	(42, 0.0001455102787152927)	(44, 2.615915122971554e-05)	(46, 0.00010300165796700495)	(48, 0.0)	(50, 1.7984416470429435e-05)	(52, 0.0)	(54, 1.634946951857221e-05)	(56, 0.00015041511957086435)	(58, 6.539787807428885e-06)	(60, 0.00030410013304544317)	(62, 0.006356673748820876)	(64, 0.0011886064340002)	(66, 0.00041854641967544864)	(68, 0.0003466087537937309)	(70, 1.9619363422286656e-05)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 2.1254310374143877e-05)	(80, 6.376293112243163e-05)	(82, 0.0)	(84, 0.0014698173097196419)	(86, 0.0021254310374143877)	(88, 0.0022594966874666797)	(90, 0.0011820666461927708)	(92, 0.0005346276532573114)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
