Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR4417237.raw	(1.0, 28.392212386071847)	(2.0, 12.404097659871946)	(3.0, 7.611004724090126)	(4.0, 5.5440870574263315)	(5.0, 4.234632104358533)	(6.0, 3.267382967751891)	(7.0, 2.5999032839018956)	(8.0, 2.2310693396450976)	(9.0, 1.9131892429204143)	('>10', 20.33892108375516)	('>50', 4.5382184390422315)	('>100', 5.330274961968138)	('>500', 0.916104163997674)	('>1k', 0.6327316058414497)	('>5k', 0.04617097935740087)	('>10k+', 0.0)
SRR4417238.raw	(1.0, 32.11137580302516)	(2.0, 13.184627941157448)	(3.0, 8.014108188507103)	(4.0, 5.509477332045267)	(5.0, 4.20822486936615)	(6.0, 3.236137528485177)	(7.0, 2.6066838448243983)	(8.0, 2.0492491384990674)	(9.0, 1.8415547020553191)	('>10', 18.915328266180264)	('>50', 3.902907465065961)	('>100', 3.953349005533152)	('>500', 0.3528096554102766)	('>1k', 0.11416625984543102)	('>5k', 0.0)	('>10k+', 0.0)
SRR4417239.raw	(1.0, 26.25321334696238)	(2.0, 11.186837905121372)	(3.0, 6.918119967881475)	(4.0, 4.958072598588494)	(5.0, 3.743633788312848)	(6.0, 3.0046129669398236)	(7.0, 2.4923293773239754)	(8.0, 2.1044784373437526)	(9.0, 1.9037944064781602)	('>10', 21.215402398416956)	('>50', 5.764005665291534)	('>100', 8.125491986524983)	('>500', 1.593762601691202)	('>1k', 0.7362445531232034)	('>5k', 0.0)	('>10k+', 0.0)
SRR4417240.raw	(1.0, 29.95748398387678)	(2.0, 12.751638467989498)	(3.0, 8.075052171016646)	(4.0, 5.667249371489209)	(5.0, 4.35322801969946)	(6.0, 3.3173820140061503)	(7.0, 2.7103301765798906)	(8.0, 2.366297495072155)	(9.0, 1.9990876291217905)	('>10', 20.021448000658005)	('>50', 4.305409649420948)	('>100', 3.958304723111582)	('>500', 0.34869105487170654)	('>1k', 0.16839724308608958)	('>5k', 0.0)	('>10k+', 0.0)
SRR4417241.raw	(1.0, 34.49133085961504)	(2.0, 13.459522254787299)	(3.0, 8.085927545206063)	(4.0, 5.448616791545562)	(5.0, 4.0602763337021885)	(6.0, 3.1397623375234986)	(7.0, 2.369292774287381)	(8.0, 2.0477649349022182)	(9.0, 1.6993742861585375)	('>10', 17.53071719407047)	('>50', 3.7569896360156516)	('>100', 3.5133840201512854)	('>500', 0.25601775929758863)	('>1k', 0.1410232727371727)	('>5k', 0.0)	('>10k+', 0.0)
SRR4417242.raw	(1.0, 25.258052037146705)	(2.0, 10.311824567174657)	(3.0, 6.369863119532029)	(4.0, 4.448822207346255)	(5.0, 3.342135521558948)	(6.0, 2.669244028105325)	(7.0, 2.200222047682994)	(8.0, 1.8732034499364467)	(9.0, 1.6527903215456985)	('>10', 20.693516768624036)	('>50', 6.674859861866178)	('>100', 10.896567074723299)	('>500', 2.471327399725811)	('>1k', 1.137571595031513)	('>5k', 0.0)	('>10k+', 0.0)
SRR4417243.raw	(1.0, 21.720794551075805)	(2.0, 10.070994110157194)	(3.0, 6.994715955608023)	(4.0, 5.173741786306809)	(5.0, 4.1821218393610815)	(6.0, 3.437412176294605)	(7.0, 2.765448086443196)	(8.0, 2.289424291891613)	(9.0, 2.024552560778002)	('>10', 24.80344763625414)	('>50', 6.4656054154164675)	('>100', 8.20002719410153)	('>500', 1.2545377233162534)	('>1k', 0.5881187306337049)	('>5k', 0.029057942361641914)	('>10k+', 0.0)
SRR4417244.raw	(1.0, 24.681546017591728)	(2.0, 11.007254880790835)	(3.0, 7.01884153845848)	(4.0, 5.01863139102282)	(5.0, 3.9792397061993974)	(6.0, 3.156092508820972)	(7.0, 2.5578540713634434)	(8.0, 2.1669444292765485)	(9.0, 1.9251923754471076)	('>10', 21.44375592599056)	('>50', 5.386551505474502)	('>100', 7.20577643564633)	('>500', 1.5821845148294968)	('>1k', 2.3844430147806754)	('>5k', 0.31624084030453786)	('>10k+', 0.1694508440025169)
