Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
SRR4417237.raw	(1, 31.71678805749344)	(2, 31.78674013555714)	(3, 30.217946804287177)	(4, 34.73967453806417)	(5, 35.389251460920676)	(6, 35.609695214627266)	(7, 35.73438094686231)	(8, 35.77958741040365)	(9, 37.52225883464132)	(10, 37.46584413517478)	(12, 37.443824556247606)	(14, 38.78578406785056)	(16, 38.73213656907194)	(18, 38.68736542919554)	(20, 38.67442056199004)	(22, 38.57054612518675)	(24, 38.532086803883395)	(26, 38.40802150713158)	(28, 38.29965029897881)	(30, 38.20576283580219)	(32, 38.106980097707726)	(34, 37.962641779377805)	(36, 37.87238946732482)	(38, 37.75526142512053)	(40, 37.671107296420914)	(42, 37.59309983898418)	(44, 37.454528304409834)	(46, 37.28687850121006)	(48, 37.12737985458272)	(50, 36.95198807358491)	(52, 36.717828272043356)	(54, 36.47174707462834)	(56, 36.20707283340981)	(58, 35.965171578466304)	(60, 35.672484510369685)	(62, 35.35738475356587)	(64, 35.03818875165152)	(66, 34.70318110277276)	(68, 34.309662462346026)	(70, 33.88445977295822)	(72, 33.47083215328607)	(74, 33.07083810143595)	(76, 31.18230526916558)	(78, 32.196186108470506)	(80, 32.202251910365575)	(82, 31.962312552278075)	(84, 31.754480973917403)	(86, 31.56005237892846)	(88, 31.377532238466724)	(90, 31.232223000783936)	(92, 31.100558867637073)	(94, 30.875585811295245)	(96, 30.657454850339793)	(98, 30.31224348369505)	(100, 28.04258210460151)
SRR4417238.raw	(1, 31.704297446721107)	(2, 31.756563089915005)	(3, 30.16816644903608)	(4, 34.705583138059204)	(5, 35.39159430618838)	(6, 35.62569943951145)	(7, 35.75671227175205)	(8, 35.80426026057164)	(9, 37.55724147688145)	(10, 37.49746679767185)	(12, 37.473378771851415)	(14, 38.82190874256577)	(16, 38.76824307519878)	(18, 38.722510487753816)	(20, 38.705754233906504)	(22, 38.599806839190826)	(24, 38.5605785486096)	(26, 38.440854216448166)	(28, 38.33434385028848)	(30, 38.23826533379514)	(32, 38.13871224947367)	(34, 37.99289436916123)	(36, 37.903391096790486)	(38, 37.78145969586685)	(40, 37.70169589974814)	(42, 37.6240601310031)	(44, 37.48660450166864)	(46, 37.31955863413566)	(48, 37.161430987992894)	(50, 36.98263572345955)	(52, 36.74904158737803)	(54, 36.50307535285981)	(56, 36.23347725268478)	(58, 35.992949414448276)	(60, 35.7021331649338)	(62, 35.38639394498719)	(64, 35.06661557214774)	(66, 34.730022100357424)	(68, 34.33418818794246)	(70, 33.9092281094393)	(72, 33.491711897496145)	(74, 33.086340627835874)	(76, 31.217454857919655)	(78, 32.21413155401981)	(80, 32.213424605966836)	(82, 31.974562128405275)	(84, 31.76388085982456)	(86, 31.5701000038831)	(88, 31.38540562832985)	(90, 31.240295815194415)	(92, 31.10796920941018)	(94, 30.882035581481755)	(96, 30.667402711944654)	(98, 30.31777639006397)	(100, 28.06166068950325)
SRR4417239.raw	(1, 31.647350070356985)	(2, 31.710319637995998)	(3, 30.149123673630886)	(4, 34.68017215874965)	(5, 35.34398752835865)	(6, 35.570422132419154)	(7, 35.70284219445475)	(8, 35.746780629483894)	(9, 37.48522890452799)	(10, 37.4230166683904)	(12, 37.40215678553502)	(14, 38.72449068279959)	(16, 38.67133970515537)	(18, 38.628957378753995)	(20, 38.615134845352216)	(22, 38.5107382501938)	(24, 38.47127372235417)	(26, 38.34240775549358)	(28, 38.23256309119081)	(30, 38.13557890561917)	(32, 38.03420336252302)	(34, 37.88886179193499)	(36, 37.796022946909176)	(38, 37.675660677229864)	(40, 37.59346352775519)	(42, 37.51623101001887)	(44, 37.372891600903685)	(46, 37.20252731018084)	(48, 37.04274040217817)	(50, 36.86089339612168)	(52, 36.625002130160894)	(54, 36.378299514854675)	(56, 36.10831419351349)	(58, 35.86361032383189)	(60, 35.56979145297848)	(62, 35.25427522817392)	(64, 34.937137822833236)	(66, 34.60270781878167)	(68, 34.2078101281797)	(70, 33.7807991946189)	(72, 33.36695062486301)	(74, 32.95857665400589)	(76, 31.05453686316966)	(78, 32.06994013726017)	(80, 32.07532757509885)	(82, 31.828217923524853)	(84, 31.61185007083141)	(86, 31.40998981887465)	(88, 31.218408803020367)	(90, 31.06701311590827)	(92, 30.923476764166992)	(94, 30.684402933454532)	(96, 30.45539703067906)	(98, 30.094224104312413)	(100, 27.807143848009936)
SRR4417240.raw	(1, 31.738678702862526)	(2, 31.790826514625437)	(3, 30.23732507406971)	(4, 34.76194435238939)	(5, 35.42213027188722)	(6, 35.650034101608206)	(7, 35.77761465350559)	(8, 35.82199769540346)	(9, 37.57787231010091)	(10, 37.518005946060455)	(12, 37.49543541077085)	(14, 38.85091079846391)	(16, 38.798311547593336)	(18, 38.75703014045112)	(20, 38.742795338667975)	(22, 38.640893562402155)	(24, 38.605130552420235)	(26, 38.48494307168025)	(28, 38.38139486916786)	(30, 38.29260156691392)	(32, 38.197432281659445)	(34, 38.056838595661816)	(36, 37.969868370675556)	(38, 37.852524003129886)	(40, 37.776023632420944)	(42, 37.70514887592932)	(44, 37.5729702550234)	(46, 37.41053912471549)	(48, 37.25886107126601)	(50, 37.0875229856114)	(52, 36.8614820388084)	(54, 36.6273333265341)	(56, 36.36787833344888)	(58, 36.136981656738705)	(60, 35.85321765424055)	(62, 35.543542109881066)	(64, 35.22934393359952)	(66, 34.89820453709536)	(68, 34.50343765899399)	(70, 34.07842552257396)	(72, 33.66498594301113)	(74, 33.25712819145029)	(76, 31.369645381574166)	(78, 32.3696574308521)	(80, 32.361984149433084)	(82, 32.116706293729465)	(84, 31.90368954054253)	(86, 31.70148869259181)	(88, 31.516396506793832)	(90, 31.368952139278292)	(92, 31.233465109400775)	(94, 31.011430117178797)	(96, 30.79856273200508)	(98, 30.459232580627848)	(100, 28.21055517177171)
SRR4417241.raw	(1, 31.711619798656702)	(2, 31.758464432070397)	(3, 30.219440837263736)	(4, 34.739304798911775)	(5, 35.39101660187802)	(6, 35.611691562914544)	(7, 35.73986207922041)	(8, 35.784705842340884)	(9, 37.53112115570511)	(10, 37.470058129839785)	(12, 37.44921377008994)	(14, 38.78841493661505)	(16, 38.73628596105774)	(18, 38.69236021096371)	(20, 38.67453040483136)	(22, 38.57055204958536)	(24, 38.53263171160259)	(26, 38.40716678954736)	(28, 38.29988607885447)	(30, 38.203841635370864)	(32, 38.103110105274894)	(34, 37.95596836335177)	(36, 37.86212397420547)	(38, 37.73839350884115)	(40, 37.652241169825956)	(42, 37.569564269414414)	(44, 37.42650692088755)	(46, 37.25112457913967)	(48, 37.086344866014784)	(50, 36.90119607975218)	(52, 36.65875202298355)	(54, 36.40466051116347)	(56, 36.130239110492305)	(58, 35.88241843571582)	(60, 35.584674046714525)	(62, 35.26193700353113)	(64, 34.93573078332058)	(66, 34.59355556569125)	(68, 34.19527948975138)	(70, 33.769022339854914)	(72, 33.35504130729062)	(74, 32.9530227859428)	(76, 31.0629278881258)	(78, 32.08153623890696)	(80, 32.09159747185224)	(82, 31.858404004561592)	(84, 31.65068269639039)	(86, 31.456622731051844)	(88, 31.273243565175562)	(90, 31.12630717000602)	(92, 30.988824667816775)	(94, 30.758571208427583)	(96, 30.533932735376943)	(98, 30.175194889920824)	(100, 27.873043076087118)
SRR4417242.raw	(1, 31.69919972745865)	(2, 31.748627095046356)	(3, 30.198903659508336)	(4, 34.72687271549727)	(5, 35.39003493969841)	(6, 35.61856011531406)	(7, 35.74898993082295)	(8, 35.79255358403764)	(9, 37.542718605359376)	(10, 37.478361703880836)	(12, 37.455356071636004)	(14, 38.79493022423181)	(16, 38.74154031108964)	(18, 38.701184767669076)	(20, 38.68715217342543)	(22, 38.58399564937977)	(24, 38.54615667385197)	(26, 38.42176627650263)	(28, 38.31626358101556)	(30, 38.22137139139463)	(32, 38.12317191841689)	(34, 37.98301596566519)	(36, 37.894744618584866)	(38, 37.77667756245794)	(40, 37.698972558016635)	(42, 37.62852372675189)	(44, 37.49199816559901)	(46, 37.32762846453253)	(48, 37.17621685477167)	(50, 36.99878653785519)	(52, 36.76823690441191)	(54, 36.525892415821886)	(56, 36.25959344417813)	(58, 36.0196354937687)	(60, 35.72776142296397)	(62, 35.41407137653022)	(64, 35.09677640983258)	(66, 34.761424959064755)	(68, 34.36190962723873)	(70, 33.93343567321861)	(72, 33.52152924393989)	(74, 33.11432480372254)	(76, 31.216742000480295)	(78, 32.22862008781431)	(80, 32.22979258275501)	(82, 31.984042431408795)	(84, 31.769835070878685)	(86, 31.568659891278656)	(88, 31.38074127279428)	(90, 31.23128564848915)	(92, 31.090083860157375)	(94, 30.86324202017942)	(96, 30.64406302309454)	(98, 30.30003264592237)	(100, 28.03119080214793)
SRR4417243.raw	(1, 31.713522630311303)	(2, 31.774778102365357)	(3, 30.23395206247814)	(4, 34.75381487905023)	(5, 35.397495949900964)	(6, 35.61616991754149)	(7, 35.74144292940416)	(8, 35.78473141549867)	(9, 37.52992186818893)	(10, 37.47051530967195)	(12, 37.448387004512796)	(14, 38.7858619222591)	(16, 38.73153946566353)	(18, 38.68929880154882)	(20, 38.674568218478115)	(22, 38.57146669780467)	(24, 38.535130834304645)	(26, 38.4104186281097)	(28, 38.30260938155942)	(30, 38.20735776160734)	(32, 38.10817983455078)	(34, 37.96526800460278)	(36, 37.87290457487002)	(38, 37.75293033680858)	(40, 37.66959509601019)	(42, 37.593241571207344)	(44, 37.45320053452204)	(46, 37.28629079553504)	(48, 37.126516719197454)	(50, 36.946552074189896)	(52, 36.71060705356214)	(54, 36.465376533164246)	(56, 36.1965245454208)	(58, 35.952262794794166)	(60, 35.657741925798895)	(62, 35.339473302871085)	(64, 35.01877555054912)	(66, 34.68039061879071)	(68, 34.281881476700946)	(70, 33.85521648729055)	(72, 33.44177016506407)	(74, 33.03561763178709)	(76, 31.136660381295773)	(78, 32.15178173940156)	(80, 32.15660157170453)	(82, 31.916096764980114)	(84, 31.70593460302377)	(86, 31.507480023917203)	(88, 31.32280557415121)	(90, 31.174521246695235)	(92, 31.035393331402965)	(94, 30.80331057738464)	(96, 30.580936528724628)	(98, 30.225113161185014)	(100, 27.924667041944915)
SRR4417244.raw	(1, 31.67904035938488)	(2, 31.73194730814486)	(3, 30.20401803254931)	(4, 34.72126917531183)	(5, 35.3675362382722)	(6, 35.586653431008116)	(7, 35.715021454427884)	(8, 35.75973689387285)	(9, 37.50414037235982)	(10, 37.44151920644122)	(12, 37.419561934275656)	(14, 38.74754627161465)	(16, 38.696097237750585)	(18, 38.65200889855848)	(20, 38.636848787549496)	(22, 38.532831762127515)	(24, 38.4948563260937)	(26, 38.36636965457364)	(28, 38.257912554666085)	(30, 38.16219263978273)	(32, 38.05878425606251)	(34, 37.91511994690215)	(36, 37.81981015846168)	(38, 37.6958661053)	(40, 37.608391783776824)	(42, 37.52262411797882)	(44, 37.37151829871867)	(46, 37.19752789808081)	(48, 37.027231578333314)	(50, 36.84337535190598)	(52, 36.59949713282623)	(54, 36.34504863836386)	(56, 36.07007869849852)	(58, 35.813968770943674)	(60, 35.513741434839915)	(62, 35.191304047422356)	(64, 34.8669134542793)	(66, 34.5331238780994)	(68, 34.137864073257134)	(70, 33.713420236431645)	(72, 33.30325780837585)	(74, 32.9001223496202)	(76, 31.010313098227087)	(78, 32.03255362495206)	(80, 32.04536163587822)	(82, 31.80775816335553)	(84, 31.602791943321492)	(86, 31.406878865995562)	(88, 31.220626379568237)	(90, 31.07280701622443)	(92, 30.932161963600066)	(94, 30.70035468866163)	(96, 30.474432323529058)	(98, 30.116597369985094)	(100, 27.812160552313856)
